CPUID Registers (CPU #1):
CPUID 80000006: 00000000-00000000-0C006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000000
CPUID 80000008: 00003028-00000000-00000000-00000000

CPUID Registers (CPU #19):
CPUID 00000000: 0000000B-756E6547-6C65746E-49656E69
CPUID 00000001: 000106D1-18080800-000CE3BD-BFEBFBFF
CPUID 00000002: 05B0B101-4C5657F0-00000000-2CB43048
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C000121-01C0003F-0000003F-00000001
CPUID 00000004: 1C000122-01C0003F-0000003F-00000001
CPUID 00000004: 1C004143-02C0003F-00000FFF-00000001
CPUID 00000004: 1C01C163-02C0003F-00003FFF-00000002
CPUID 00000005: 00000040-00000040-00000003-00002220
CPUID 00000006: 00000001-00000002-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000400-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07280202-00000000-00000000-00000503
CPUID 0000000B: 00000000-00000001-00000100-00000018
CPUID 0000000B: 00000003-00000006-00000201-00000018
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-20100000
CPUID 80000002: 756E6547-20656E69-65746E49-2952286C
CPUID 80000003: 55504320-20202020-20202020-20202020
CPUID 80000004: 20202020-20402020-30342E32-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-0C006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000000
CPUID 80000008: 00003028-00000000-00000000-00000000

CPUID Registers (CPU #20):
CPUID 00000000: 0000000B-756E6547-6C65746E-49656E69
CPUID 00000001: 000106D1-19080800-000CE3BD-BFEBFBFF
CPUID 00000002: 05B0B101-4C5657F0-00000000-2CB43048
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 1C000121-01C0003F-0000003F-00000001
CPUID 00000004: 1C000122-01C0003F-0000003F-00000001
CPUID 00000004: 1C004143-02C0003F-00000FFF-00000001
CPUID 00000004: 1C01C163-02C0003F-00003FFF-00000002
CPUID 00000005: 00000040-00000040-00000003-00002220
CPUID 00000006: 00000001-00000002-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
